5
6
mario logo (shirt)
red (pants)
hawaiian (shirt)
baggy (pants)
white (socks)
fancy (socks)
10
khaki (pants)
blueish green (shirt)
apple (shirt)
bright (socks)
blue (pants)
red (pants)
purple (socks)
ugly (shirt)
stupid (socks)
big red (pants)
10
khaki (socks)
blueish green (shirt)
apple (shirt)
bright (pants)
blue (pants)
red (pants)
purple (socks)
ugly (pants)
stupid (socks)
big red (pants)
12
one (shirt)
two (shirt)
three (pants)
four (pants)
five (shirt)
six (socks)
seven (pants)
eight (shirt)
nine (socks)
ten (socks)
eleven (shirt)
twelve (pants)
7
seven (pants)
one (shirt)
two (shirt)
six (socks)
three (shirt)
four (shirt)
five (shirt)
